reference_id_code,parent_name,ama_peer_bank,description_of_event,nfr_taxonomy,loss_amount___m_,basel_business_line__level1_,basel_business_line__level_2,business_unit,ubs_business_division,event_risk_category,sub_risk_category,activity,country_of_incident,event_region,month__year_of_settlement,multiple_firms_impacted_code,single_event_multiple_loss_code,date_of_entry,nfr_taxonomy_number,root_cause,learning_outcome,impact,summary,ai_nfr_cluster,ai_nfr_taxonomy,ai_risk_theme,ai_reasoning_taxonomy_steps,ai_reasoning_risk_theme
e44f36fb-ebc9-4797-b197-10b628a570be,"Butler, Hunter and Griffin","Church, Brooks and Ortiz",Third-Party Risk incident occurred in Risk Assessment process.,Data Privacy,74.98,Retail Banking,Asset Management,repurpose end-to-end web-readiness,UBS AG,Compliance Breach,Internal Fraud,Risk Assessment,USA,EMEA,11/2022,N,Y,2022-12-24,NFR-3073,Process gap,The incident highlighted gaps in Transaction Settlement.,Minimal impact on operations and reputational risk.,Fraud event causing $49M loss.,AI Governance,Third-Party Risk,Model Risk,"Deployment, Data Collection, Model Selection",Risk due to Third-Party AI Risk in Client Onboarding.
292148f8-f094-4401-85f2-567a08d551be,Campbell-Klein,Jackson-Davis,Fraud incident occurred in Trade Booking process.,Fraud,53.76,Corporate Finance,Retail Banking,engage revolutionary e-services,UBS Switzerland,Internal Fraud,External Fraud,Risk Assessment,Singapore,AMERICAS,01/2025,Y,N,2025-03-07,NFR-9450,Vendor failure,The incident highlighted gaps in Trade Booking.,Severe impact on operations and reputational risk.,Data Privacy event causing $19M loss.,AI Ops,Third-Party Risk,Human Error,"Model Selection, Deployment, Data Collection",Risk due to Model Risk in Transaction Settlement.
d638de1b-d0d9-4b3a-89ba-a7c1e80f1bf9,French Ltd,"Collins, Smith and Lewis",Data Privacy incident occurred in Trade Booking process.,Data Privacy,63.33,Asset Management,Corporate Finance,monetize back-end platforms,UBS Europe SE,Compliance Breach,Internal Fraud,Transaction Settlement,India,AMERICAS,08/2022,Y,N,2022-10-14,NFR-3796,Insider threat,The incident highlighted gaps in Transaction Settlement.,Moderate impact on operations and reputational risk.,Cybersecurity event causing $36M loss.,AI Governance,Process Failures,Third-Party AI Risk,"Deployment, Preprocessing, Evaluation",Risk due to Third-Party AI Risk in Trade Booking.
13cb6fa7-37c0-4d97-a2a3-39f17a84f5dd,Osborn-Martinez,Delacruz and Sons,Fraud incident occurred in Client Onboarding process.,Data Privacy,57.61,Asset Management,Wealth Management,integrate scalable communities,UBS Switzerland,Internal Fraud,Internal Fraud,Risk Assessment,Singapore,APAC,01/2024,Y,Y,2024-02-11,NFR-3350,Process gap,The incident highlighted gaps in Trade Booking.,Moderate impact on operations and reputational risk.,Process Failures event causing $42M loss.,AI Ops,Data Privacy,Automation Risk,"Model Selection, Deployment, Preprocessing",Risk due to Third-Party AI Risk in Transaction Settlement.
e6aef04e-d0d4-4819-8335-e33119545518,Dunn and Sons,"Simmons, Jacobs and Taylor",Data Privacy incident occurred in Client Onboarding process.,Data Privacy,21.02,Wealth Management,Retail Banking,e-enable e-business relationships,UBS Switzerland,Internal Fraud,Execution Errors,Transaction Settlement,UK,AMERICAS,12/2023,Y,N,2023-12-12,NFR-4790,Process gap,The incident highlighted gaps in Client Onboarding.,Severe impact on operations and reputational risk.,Process Failures event causing $61M loss.,AI Governance,Fraud,Outsourcing Risk,"Model Selection, Evaluation, Deployment",Risk due to Model Risk in Trade Booking.
546fc917-c241-4ffd-9ead-55e789a89a8f,Smith LLC,"Wyatt, Crane and Miller",Fraud incident occurred in Client Onboarding process.,Process Failures,72.82,Corporate Finance,Retail Banking,unleash granular applications,UBS UK Branch,External Fraud,Execution Errors,Trade Booking,USA,APAC,01/2025,Y,Y,2025-02-16,NFR-7698,System failure,The incident highlighted gaps in Risk Assessment.,Moderate impact on operations and reputational risk.,Data Privacy event causing $20M loss.,AI Compliance,Fraud,Third-Party AI Risk,"Model Selection, Deployment, Preprocessing",Risk due to Human Error in Trade Booking.
d4be8110-5146-41bd-8259-9acf673b2c54,"Jones, Scott and Shepherd",Hunt-Ward,Fraud incident occurred in Transaction Settlement process.,Cybersecurity,95.13,Retail Banking,Retail Banking,implement dynamic supply-chains,UBS UK Branch,Internal Fraud,External Fraud,Transaction Settlement,USA,AMERICAS,07/2024,N,N,2024-09-06,NFR-4580,Process gap,The incident highlighted gaps in Client Onboarding.,Severe impact on operations and reputational risk.,Fraud event causing $21M loss.,AI Ops,Process Failures,Human Error,"Data Collection, Preprocessing, Deployment",Risk due to Model Risk in Client Onboarding.
8aeefdaa-c59d-471c-acdb-7f8635f5aeec,Taylor-James,Rivera-Dixon,Cybersecurity incident occurred in Risk Assessment process.,Fraud,80.64,Retail Banking,Corporate Finance,incubate real-time methodologies,UBS UK Branch,Execution Errors,Internal Fraud,Risk Assessment,UK,AMERICAS,10/2024,Y,Y,2024-12-02,NFR-8275,Vendor failure,The incident highlighted gaps in Trade Booking.,Severe impact on operations and reputational risk.,Cybersecurity event causing $65M loss.,AI Governance,Cybersecurity,Model Risk,"Evaluation, Deployment, Model Selection",Risk due to Model Risk in Trade Booking.
53ec2260-b8c2-49fa-86be-2de568f9813c,"Christensen, Richardson and Hubbard",Davis-Martin,Fraud incident occurred in Trade Booking process.,Third-Party Risk,46.77,Asset Management,Wealth Management,extend plug-and-play systems,UBS AG,Execution Errors,Execution Errors,Client Onboarding,USA,AMERICAS,03/2025,N,Y,2025-04-12,NFR-3074,Vendor failure,The incident highlighted gaps in Transaction Settlement.,Moderate impact on operations and reputational risk.,Fraud event causing $41M loss.,AI Ops,Process Failures,Automation Risk,"Deployment, Evaluation, Preprocessing",Risk due to Model Risk in Client Onboarding.
3290698c-7b00-4be2-9ade-e5dd6209abe4,"Ramos, Patton and Mcfarland",Pacheco-Fernandez,Cybersecurity incident occurred in Risk Assessment process.,Fraud,73.17,Corporate Finance,Wealth Management,e-enable intuitive models,UBS Switzerland,Internal Fraud,Internal Fraud,Trade Booking,India,EMEA,06/2024,Y,Y,2024-07-25,NFR-1310,Vendor failure,The incident highlighted gaps in Transaction Settlement.,Minimal impact on operations and reputational risk.,Fraud event causing $58M loss.,AI Ops,Cybersecurity,Model Risk,"Deployment, Evaluation, Preprocessing",Risk due to Model Risk in Client Onboarding.
81115c8e-72e0-4bfd-a543-6e699c54ed01,Jones-Garcia,"Martin, Cross and Jones",Process Failures incident occurred in Trade Booking process.,Cybersecurity,93.4,Corporate Finance,Asset Management,disintermediate e-business web services,UBS Europe SE,External Fraud,Execution Errors,Transaction Settlement,UK,AMERICAS,05/2023,Y,N,2023-07-16,NFR-1340,System failure,The incident highlighted gaps in Transaction Settlement.,Moderate impact on operations and reputational risk.,Third-Party Risk event causing $32M loss.,AI Governance,Data Privacy,Outsourcing Risk,"Deployment, Model Selection, Preprocessing",Risk due to Outsourcing Risk in Client Onboarding.
aa317738-177d-4984-8805-01bb274a061a,"Mccoy, Ayala and Reid",Gilbert-Goodwin,Process Failures incident occurred in Risk Assessment process.,Third-Party Risk,88.97,Corporate Finance,Retail Banking,repurpose compelling deliverables,UBS AG,External Fraud,Execution Errors,Risk Assessment,USA,APAC,08/2022,Y,Y,2022-10-20,NFR-8961,System failure,The incident highlighted gaps in Trade Booking.,Minimal impact on operations and reputational risk.,Process Failures event causing $25M loss.,AI Governance,Cybersecurity,Outsourcing Risk,"Evaluation, Preprocessing, Model Selection",Risk due to Model Risk in Risk Assessment.
ce29a884-6aef-4c4a-baf6-4290536a1f07,Bates-Graham,"Hill, Riley and Myers",Process Failures incident occurred in Transaction Settlement process.,Process Failures,24.68,Wealth Management,Corporate Finance,re-intermediate B2B interfaces,UBS UK Branch,Compliance Breach,Internal Fraud,Transaction Settlement,USA,APAC,11/2024,Y,N,2025-01-11,NFR-2822,Process gap,The incident highlighted gaps in Client Onboarding.,Minimal impact on operations and reputational risk.,Data Privacy event causing $85M loss.,AI Governance,Process Failures,Automation Risk,"Deployment, Model Selection, Data Collection",Risk due to Model Risk in Risk Assessment.
606498fe-2810-4be1-bda9-b78f723f7fab,"Patton, Case and Benson","Carter, Horne and Bennett",Third-Party Risk incident occurred in Trade Booking process.,Cybersecurity,88.59,Wealth Management,Corporate Finance,morph integrated communities,UBS Europe SE,Internal Fraud,Internal Fraud,Risk Assessment,UK,EMEA,12/2022,Y,N,2022-12-08,NFR-6091,System failure,The incident highlighted gaps in Transaction Settlement.,Moderate impact on operations and reputational risk.,Process Failures event causing $33M loss.,AI Governance,Cybersecurity,Third-Party AI Risk,"Model Selection, Preprocessing, Evaluation",Risk due to Automation Risk in Risk Assessment.
65816e23-8731-45fd-a25a-a720fb4b314b,Valentine-Bryan,Underwood-Berry,Cybersecurity incident occurred in Trade Booking process.,Third-Party Risk,84.68,Retail Banking,Corporate Finance,grow 24/365 users,UBS Switzerland,External Fraud,Compliance Breach,Trade Booking,India,EMEA,03/2025,N,N,2025-04-13,NFR-3611,Process gap,The incident highlighted gaps in Transaction Settlement.,Severe impact on operations and reputational risk.,Cybersecurity event causing $12M loss.,AI Compliance,Third-Party Risk,Human Error,"Evaluation, Model Selection, Deployment",Risk due to Outsourcing Risk in Trade Booking.
24618abd-668c-4f7b-af0b-7285f9b6b003,"Boyd, Villarreal and Luna",Gordon-Lester,Process Failures incident occurred in Risk Assessment process.,Cybersecurity,34.89,Wealth Management,Retail Banking,leverage web-enabled users,UBS AG,Execution Errors,External Fraud,Risk Assessment,Germany,EMEA,04/2025,N,N,2025-05-18,NFR-3887,Vendor failure,The incident highlighted gaps in Transaction Settlement.,Severe impact on operations and reputational risk.,Fraud event causing $52M loss.,AI Compliance,Cybersecurity,Human Error,"Deployment, Evaluation, Preprocessing",Risk due to Outsourcing Risk in Trade Booking.
f5a55a0e-de9b-4602-aefe-2da11cdcf23e,Shepard-Hurst,Joyce-Carlson,Third-Party Risk incident occurred in Trade Booking process.,Third-Party Risk,39.19,Wealth Management,Retail Banking,streamline proactive supply-chains,UBS AG,Compliance Breach,Internal Fraud,Risk Assessment,Singapore,APAC,09/2022,Y,Y,2022-09-10,NFR-2341,System failure,The incident highlighted gaps in Transaction Settlement.,Moderate impact on operations and reputational risk.,Process Failures event causing $38M loss.,AI Compliance,Cybersecurity,Outsourcing Risk,"Data Collection, Preprocessing, Evaluation",Risk due to Model Risk in Client Onboarding.
9fa14a26-35ed-4898-9c14-4c795029de7d,"Brooks, Anderson and Montes","Garcia, Hayes and Donaldson",Data Privacy incident occurred in Trade Booking process.,Process Failures,25.44,Retail Banking,Asset Management,scale cross-platform portals,UBS Switzerland,Compliance Breach,Internal Fraud,Trade Booking,India,AMERICAS,05/2024,Y,N,2024-07-29,NFR-4512,Vendor failure,The incident highlighted gaps in Client Onboarding.,Moderate impact on operations and reputational risk.,Cybersecurity event causing $20M loss.,AI Compliance,Cybersecurity,Human Error,"Data Collection, Preprocessing, Model Selection",Risk due to Third-Party AI Risk in Transaction Settlement.
b6e688a1-5815-43c9-91e2-3f9b33bf973f,Silva-Gray,Cole Group,Third-Party Risk incident occurred in Client Onboarding process.,Third-Party Risk,0.36,Corporate Finance,Corporate Finance,target dynamic supply-chains,UBS Europe SE,Execution Errors,External Fraud,Trade Booking,USA,AMERICAS,12/2022,N,Y,2022-12-10,NFR-5168,Vendor failure,The incident highlighted gaps in Risk Assessment.,Moderate impact on operations and reputational risk.,Data Privacy event causing $25M loss.,AI Ops,Process Failures,Third-Party AI Risk,"Preprocessing, Evaluation, Data Collection",Risk due to Third-Party AI Risk in Trade Booking.
73bec7c7-06a6-46f0-b9f4-ea5feabda47e,Duncan-Bailey,Williams-Burns,Cybersecurity incident occurred in Trade Booking process.,Fraud,60.63,Retail Banking,Retail Banking,syndicate open-source applications,UBS UK Branch,External Fraud,Execution Errors,Risk Assessment,Germany,AMERICAS,05/2025,N,Y,2025-07-09,NFR-5612,Insider threat,The incident highlighted gaps in Client Onboarding.,Moderate impact on operations and reputational risk.,Third-Party Risk event causing $58M loss.,AI Governance,Process Failures,Human Error,"Data Collection, Evaluation, Deployment",Risk due to Automation Risk in Client Onboarding.
8ba69c14-bdbd-4c0f-9365-d183b01f9583,"Wilson, Wright and Thomas",Wilkinson-Wells,Data Privacy incident occurred in Transaction Settlement process.,Cybersecurity,31.71,Retail Banking,Asset Management,embrace end-to-end info-mediaries,UBS Europe SE,Internal Fraud,External Fraud,Transaction Settlement,Switzerland,APAC,12/2024,N,N,2024-12-25,NFR-8779,Process gap,The incident highlighted gaps in Risk Assessment.,Severe impact on operations and reputational risk.,Fraud event causing $48M loss.,AI Compliance,Third-Party Risk,Model Risk,"Model Selection, Deployment, Preprocessing",Risk due to Human Error in Client Onboarding.
94b842df-78a9-4ef3-a010-47e71f19d5dd,Sharp-Odom,Chen Group,Process Failures incident occurred in Client Onboarding process.,Data Privacy,60.61,Wealth Management,Corporate Finance,integrate 24/365 vortals,UBS Switzerland,Internal Fraud,External Fraud,Trade Booking,Germany,APAC,09/2023,Y,Y,2023-09-06,NFR-5963,System failure,The incident highlighted gaps in Risk Assessment.,Moderate impact on operations and reputational risk.,Fraud event causing $99M loss.,AI Ops,Cybersecurity,Automation Risk,"Deployment, Preprocessing, Model Selection",Risk due to Human Error in Trade Booking.
44f47c01-41de-4417-aff5-ec3713524151,"Jackson, Rivera and Williams",Thomas-Hernandez,Third-Party Risk incident occurred in Client Onboarding process.,Process Failures,37.12,Asset Management,Wealth Management,deploy holistic paradigms,UBS AG,Compliance Breach,Execution Errors,Trade Booking,Switzerland,APAC,11/2023,Y,Y,2023-11-13,NFR-3180,System failure,The incident highlighted gaps in Trade Booking.,Severe impact on operations and reputational risk.,Cybersecurity event causing $90M loss.,AI Compliance,Fraud,Outsourcing Risk,"Evaluation, Data Collection, Model Selection",Risk due to Model Risk in Transaction Settlement.
8b97eeca-9ac8-4bfd-916b-f0fda6d0feb4,"Davis, Adams and Prince",Fox and Sons,Fraud incident occurred in Trade Booking process.,Process Failures,76.13,Corporate Finance,Corporate Finance,target value-added bandwidth,UBS AG,Internal Fraud,Internal Fraud,Risk Assessment,Germany,AMERICAS,11/2022,Y,Y,2022-12-21,NFR-9043,System failure,The incident highlighted gaps in Client Onboarding.,Moderate impact on operations and reputational risk.,Third-Party Risk event causing $44M loss.,AI Ops,Data Privacy,Human Error,"Data Collection, Model Selection, Deployment",Risk due to Human Error in Client Onboarding.
63b72cbc-2e60-4a91-89ef-1db2bde5c944,"Meadows, Hansen and Solis","Gilbert, Davenport and Fleming",Process Failures incident occurred in Transaction Settlement process.,Third-Party Risk,82.28,Wealth Management,Retail Banking,generate impactful methodologies,UBS Switzerland,Internal Fraud,Internal Fraud,Client Onboarding,Germany,AMERICAS,12/2023,N,Y,2024-01-21,NFR-1784,System failure,The incident highlighted gaps in Risk Assessment.,Severe impact on operations and reputational risk.,Data Privacy event causing $43M loss.,AI Governance,Cybersecurity,Model Risk,"Preprocessing, Model Selection, Evaluation",Risk due to Human Error in Client Onboarding.
409b6ed7-e3ee-46a0-8e17-847170079034,"Anderson, Rojas and Livingston",White LLC,Fraud incident occurred in Client Onboarding process.,Third-Party Risk,42.21,Corporate Finance,Corporate Finance,brand revolutionary infrastructures,UBS UK Branch,Execution Errors,Execution Errors,Risk Assessment,Switzerland,EMEA,09/2022,N,N,2022-09-27,NFR-2072,Insider threat,The incident highlighted gaps in Transaction Settlement.,Moderate impact on operations and reputational risk.,Data Privacy event causing $16M loss.,AI Compliance,Cybersecurity,Outsourcing Risk,"Deployment, Data Collection, Model Selection",Risk due to Automation Risk in Trade Booking.
506e5b3b-81da-4958-aba6-d2a775ddad0e,"Hughes, Roberts and Wood","Brown, Caldwell and Pierce",Data Privacy incident occurred in Trade Booking process.,Cybersecurity,24.82,Wealth Management,Retail Banking,utilize leading-edge systems,UBS Switzerland,Execution Errors,Execution Errors,Risk Assessment,Switzerland,AMERICAS,01/2025,Y,Y,2025-01-18,NFR-7611,Insider threat,The incident highlighted gaps in Client Onboarding.,Moderate impact on operations and reputational risk.,Cybersecurity event causing $14M loss.,AI Compliance,Fraud,Third-Party AI Risk,"Model Selection, Preprocessing, Data Collection",Risk due to Automation Risk in Risk Assessment.
61c413e3-40bc-4246-b88f-54b1d8ed8314,Lopez-Shelton,Williams and Sons,Cybersecurity incident occurred in Trade Booking process.,Cybersecurity,12.73,Retail Banking,Asset Management,engage cross-platform partnerships,UBS Switzerland,Compliance Breach,Internal Fraud,Client Onboarding,Singapore,APAC,09/2024,N,Y,2024-11-03,NFR-3789,Process gap,The incident highlighted gaps in Risk Assessment.,Moderate impact on operations and reputational risk.,Third-Party Risk event causing $89M loss.,AI Ops,Process Failures,Outsourcing Risk,"Deployment, Model Selection, Preprocessing",Risk due to Human Error in Trade Booking.
a9d0a8c0-9072-4459-bb4f-735e63f7158f,"Butler, Schwartz and Gardner",Harvey-Perkins,Fraud incident occurred in Trade Booking process.,Third-Party Risk,24.42,Asset Management,Corporate Finance,morph scalable users,UBS Europe SE,Internal Fraud,Compliance Breach,Transaction Settlement,India,EMEA,06/2024,N,Y,2024-06-25,NFR-6078,System failure,The incident highlighted gaps in Transaction Settlement.,Moderate impact on operations and reputational risk.,Data Privacy event causing $63M loss.,AI Ops,Process Failures,Human Error,"Model Selection, Preprocessing, Data Collection",Risk due to Automation Risk in Client Onboarding.
29f9eb14-9b3f-4e54-b883-2c37a3117516,Martin-Fletcher,Simpson Ltd,Process Failures incident occurred in Transaction Settlement process.,Cybersecurity,27.88,Wealth Management,Corporate Finance,synergize real-time architectures,UBS UK Branch,Internal Fraud,Execution Errors,Risk Assessment,USA,EMEA,04/2025,Y,N,2025-05-02,NFR-4693,Vendor failure,The incident highlighted gaps in Transaction Settlement.,Moderate impact on operations and reputational risk.,Third-Party Risk event causing $63M loss.,AI Ops,Process Failures,Automation Risk,"Data Collection, Model Selection, Preprocessing",Risk due to Model Risk in Client Onboarding.
fdbbfa21-3b3e-4ab4-91bf-266a8bbe9afd,Nguyen Ltd,"Brown, Pham and Miller",Data Privacy incident occurred in Risk Assessment process.,Process Failures,31.28,Retail Banking,Corporate Finance,engineer end-to-end e-tailers,UBS UK Branch,Compliance Breach,External Fraud,Risk Assessment,Germany,APAC,11/2023,Y,N,2024-01-01,NFR-7536,Insider threat,The incident highlighted gaps in Trade Booking.,Moderate impact on operations and reputational risk.,Data Privacy event causing $6M loss.,AI Compliance,Fraud,Third-Party AI Risk,"Preprocessing, Deployment, Data Collection",Risk due to Model Risk in Risk Assessment.
683cc6d1-3567-40f6-b0a7-f3878c9d6df9,"Jacobs, Lucero and Clark",Brown and Sons,Cybersecurity incident occurred in Trade Booking process.,Fraud,80.33,Wealth Management,Wealth Management,enable dot-com action-items,UBS AG,Internal Fraud,Internal Fraud,Transaction Settlement,Germany,AMERICAS,09/2024,N,N,2024-10-16,NFR-6836,Insider threat,The incident highlighted gaps in Client Onboarding.,Severe impact on operations and reputational risk.,Third-Party Risk event causing $28M loss.,AI Compliance,Data Privacy,Outsourcing Risk,"Evaluation, Data Collection, Model Selection",Risk due to Third-Party AI Risk in Risk Assessment.
5a9aaa3d-bca2-4642-82ce-aad0b490c8d6,Nelson and Sons,"Mcdaniel, Rodriguez and Miller",Fraud incident occurred in Trade Booking process.,Third-Party Risk,20.72,Retail Banking,Asset Management,monetize collaborative content,UBS UK Branch,Compliance Breach,Internal Fraud,Risk Assessment,Singapore,APAC,06/2023,N,N,2023-07-22,NFR-7691,System failure,The incident highlighted gaps in Trade Booking.,Severe impact on operations and reputational risk.,Process Failures event causing $58M loss.,AI Compliance,Fraud,Outsourcing Risk,"Model Selection, Deployment, Evaluation",Risk due to Human Error in Transaction Settlement.
e073597a-a9ca-440c-b12d-ae49eb8e80aa,Walls-Cowan,"Salazar, Taylor and Lewis",Data Privacy incident occurred in Trade Booking process.,Third-Party Risk,75.27,Wealth Management,Corporate Finance,strategize 24/7 solutions,UBS AG,Compliance Breach,Internal Fraud,Risk Assessment,India,APAC,04/2023,Y,Y,2023-04-11,NFR-6677,Vendor failure,The incident highlighted gaps in Client Onboarding.,Moderate impact on operations and reputational risk.,Fraud event causing $23M loss.,AI Ops,Third-Party Risk,Human Error,"Deployment, Data Collection, Preprocessing",Risk due to Model Risk in Risk Assessment.
ddf3d2e3-6b46-42d2-a458-3da85ee15336,Perez and Sons,Cowan and Sons,Process Failures incident occurred in Transaction Settlement process.,Process Failures,58.74,Corporate Finance,Wealth Management,seize front-end communities,UBS UK Branch,External Fraud,Execution Errors,Client Onboarding,Germany,AMERICAS,12/2023,N,N,2024-01-12,NFR-6306,Vendor failure,The incident highlighted gaps in Client Onboarding.,Moderate impact on operations and reputational risk.,Fraud event causing $40M loss.,AI Ops,Fraud,Model Risk,"Data Collection, Deployment, Evaluation",Risk due to Automation Risk in Risk Assessment.
e30ae61e-97b5-488e-8435-5409825e5c8c,"Harris, Garcia and Marshall",Hobbs-Smith,Data Privacy incident occurred in Client Onboarding process.,Fraud,94.26,Corporate Finance,Asset Management,transform impactful technologies,UBS UK Branch,Internal Fraud,Internal Fraud,Transaction Settlement,Germany,APAC,05/2024,N,N,2024-06-04,NFR-3376,System failure,The incident highlighted gaps in Client Onboarding.,Minimal impact on operations and reputational risk.,Process Failures event causing $44M loss.,AI Governance,Fraud,Outsourcing Risk,"Data Collection, Model Selection, Deployment",Risk due to Model Risk in Transaction Settlement.
