id,dataset_type,description,ai_taxonomy,current_erms_taxonomy,raw_meta_data,ai_taxonomy_detail,ai_root_cause,ai_enrichment
112,controls,Authorization bypass in Settlement System with audit findings,Reputational Risk,TR-003: Security Risk,"{""metadata"": {""source"": ""external"", ""priority"": ""P1"", ""assigned_to"": ""user_828"", ""tags"": [""monitoring"", ""urgent"", ""escalated""]}, ""financial_impact"": {""amount"": 182394.53, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-09-06T13:09:20.126841"", ""acknowledged"": ""2025-08-23T13:09:20.126842"", ""resolved"": null}}","{""status"": ""active"", ""severity"": ""critical"", ""created_date"": ""2025-07-27T13:09:20.126845""}","{""detailed_analysis"": {""root_cause_category"": ""human_error"", ""contributing_factors"": [""process_deviation""], ""risk_indicators"": {""probability"": 0.1901921510099588, ""impact_score"": 4, ""risk_rating"": ""High""}}, ""remediation"": {""immediate_actions"": [""Action 1: Data correction"", ""Action 2: Manual override"", ""Action 3: Manual override""], ""long_term_solutions"": [""Solution 1: System upgrade""]}, ""stakeholders"": {""business_owner"": ""manager_77"", ""technical_lead"": ""tech_97"", ""risk_reviewer"": ""risk_77""}}","{""metadata"": {""source"": ""system"", ""priority"": ""P1"", ""assigned_to"": ""user_392"", ""tags"": [""review"", ""monitoring""]}, ""financial_impact"": {""amount"": 341200.64, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-30T13:09:20.126855"", ""acknowledged"": ""2025-08-15T13:09:20.126856"", ""resolved"": ""2025-09-01T13:09:20.126857""}}"
113,controls,Process failure in CRM System resulting in reputation damage,Technology Risk,OR-002: System Failure,"{""metadata"": {""source"": ""external"", ""priority"": ""P1"", ""assigned_to"": ""user_686"", ""tags"": [""resolved"", ""urgent"", ""monitoring""]}, ""financial_impact"": {""amount"": 19621.9, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-13T13:09:20.126863"", ""acknowledged"": ""2025-08-23T13:09:20.126864"", ""resolved"": null}}","{""status"": ""resolved"", ""severity"": ""low"", ""created_date"": ""2024-12-06T13:09:20.126867""}","{""detailed_analysis"": {""root_cause_category"": ""external_factor"", ""contributing_factors"": [""technical_debt"", ""vendor_issue"", ""system_overload""], ""risk_indicators"": {""probability"": 0.9899537108949535, ""impact_score"": 9, ""risk_rating"": ""Low""}}, ""remediation"": {""immediate_actions"": [""Action 1: System restart""], ""long_term_solutions"": [""Solution 1: System upgrade""]}, ""stakeholders"": {""business_owner"": ""manager_17"", ""technical_lead"": ""tech_77"", ""risk_reviewer"": ""risk_61""}}","{""metadata"": {""source"": ""external"", ""priority"": ""P1"", ""assigned_to"": ""user_735"", ""tags"": [""monitoring"", ""urgent""]}, ""financial_impact"": {""amount"": 896722.72, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-09-04T13:09:20.126876"", ""acknowledged"": ""2025-09-01T13:09:20.126877"", ""resolved"": ""2025-09-02T13:09:20.126878""}}"
114,controls,Performance degradation in Reporting System impacting regulatory concern,Reputational Risk,TR-002: Data Risk,"{""metadata"": {""source"": ""system"", ""priority"": ""P3"", ""assigned_to"": ""user_156"", ""tags"": [""escalated""]}, ""financial_impact"": {""amount"": 846861.34, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-08-12T13:09:20.126884"", ""acknowledged"": ""2025-08-18T13:09:20.126885"", ""resolved"": null}}","{""status"": ""pending"", ""severity"": ""medium"", ""created_date"": ""2024-11-02T13:09:20.126888""}","{""detailed_analysis"": {""root_cause_category"": ""process_gap"", ""contributing_factors"": [""inadequate_training"", ""system_overload"", ""communication_breakdown""], ""risk_indicators"": {""probability"": 0.9301143604430311, ""impact_score"": 8, ""risk_rating"": ""Very High""}}, ""remediation"": {""immediate_actions"": [""Action 1: Data correction""], ""long_term_solutions"": [""Solution 1: System upgrade"", ""Solution 2: Process redesign""]}, ""stakeholders"": {""business_owner"": ""manager_78"", ""technical_lead"": ""tech_29"", ""risk_reviewer"": ""risk_35""}}","{""metadata"": {""source"": ""external"", ""priority"": ""P3"", ""assigned_to"": ""user_567"", ""tags"": [""urgent""]}, ""financial_impact"": {""amount"": 867174.07, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-27T13:09:20.126897"", ""acknowledged"": ""2025-08-28T13:09:20.126898"", ""resolved"": ""2025-09-06T13:09:20.126899""}}"
115,controls,Integration error between Data Warehouse and external service,Compliance Risk,MR-002: FX Risk,"{""metadata"": {""source"": ""manual"", ""priority"": ""P2"", ""assigned_to"": ""user_663"", ""tags"": [""urgent"", ""escalated"", ""resolved""]}, ""financial_impact"": {""amount"": 105389.1, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-24T13:09:20.126905"", ""acknowledged"": ""2025-09-07T13:09:20.126906"", ""resolved"": null}}","{""status"": ""active"", ""severity"": ""high"", ""created_date"": ""2025-03-26T13:09:20.126909""}","{""detailed_analysis"": {""root_cause_category"": ""external_factor"", ""contributing_factors"": [""vendor_issue""], ""risk_indicators"": {""probability"": 0.9017278778897025, ""impact_score"": 1, ""risk_rating"": ""Medium""}}, ""remediation"": {""immediate_actions"": [""Action 1: Process bypass"", ""Action 2: System restart"", ""Action 3: Data correction""], ""long_term_solutions"": [""Solution 1: Process redesign""]}, ""stakeholders"": {""business_owner"": ""manager_22"", ""technical_lead"": ""tech_63"", ""risk_reviewer"": ""risk_78""}}","{""metadata"": {""source"": ""external"", ""priority"": ""P1"", ""assigned_to"": ""user_570"", ""tags"": [""review"", ""escalated"", ""monitoring""]}, ""financial_impact"": {""amount"": 975355.78, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-08-26T13:09:20.126919"", ""acknowledged"": ""2025-08-19T13:09:20.126920"", ""resolved"": ""2025-08-30T13:09:20.126921""}}"
116,controls,Failed transaction processing in Client Portal resulting in operational delay,Operational Risk,OR-003: Human Error,"{""metadata"": {""source"": ""system"", ""priority"": ""P2"", ""assigned_to"": ""user_905"", ""tags"": [""review"", ""escalated"", ""monitoring""]}, ""financial_impact"": {""amount"": 292977.39, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-12T13:09:20.126927"", ""acknowledged"": ""2025-08-26T13:09:20.126927"", ""resolved"": ""2025-09-01T13:09:20.126928""}}","{""status"": ""active"", ""severity"": ""low"", ""created_date"": ""2024-09-24T13:09:20.126932""}","{""detailed_analysis"": {""root_cause_category"": ""process_gap"", ""contributing_factors"": [""communication_breakdown""], ""risk_indicators"": {""probability"": 0.2088996413075146, ""impact_score"": 5, ""risk_rating"": ""Very High""}}, ""remediation"": {""immediate_actions"": [""Action 1: System restart"", ""Action 2: Manual override"", ""Action 3: Manual override""], ""long_term_solutions"": [""Solution 1: Training program"", ""Solution 2: Control enhancement""]}, ""stakeholders"": {""business_owner"": ""manager_90"", ""technical_lead"": ""tech_33"", ""risk_reviewer"": ""risk_75""}}","{""metadata"": {""source"": ""external"", ""priority"": ""P1"", ""assigned_to"": ""user_914"", ""tags"": [""review"", ""monitoring""]}, ""financial_impact"": {""amount"": 205234.24, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-08-23T13:09:20.126941"", ""acknowledged"": ""2025-08-28T13:09:20.126942"", ""resolved"": null}}"
117,controls,Performance degradation in Payment Gateway impacting data corruption,Third Party Risk,MR-002: FX Risk,"{""metadata"": {""source"": ""manual"", ""priority"": ""P3"", ""assigned_to"": ""user_924"", ""tags"": [""monitoring"", ""resolved"", ""escalated""]}, ""financial_impact"": {""amount"": 393457.8, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-13T13:09:20.126948"", ""acknowledged"": ""2025-08-19T13:09:20.126949"", ""resolved"": null}}","{""status"": ""active"", ""severity"": ""high"", ""created_date"": ""2025-07-04T13:09:20.126952""}","{""detailed_analysis"": {""root_cause_category"": ""process_gap"", ""contributing_factors"": [""system_overload"", ""process_deviation"", ""communication_breakdown""], ""risk_indicators"": {""probability"": 0.2615817804100504, ""impact_score"": 8, ""risk_rating"": ""Low""}}, ""remediation"": {""immediate_actions"": [""Action 1: Data correction""], ""long_term_solutions"": [""Solution 1: Process redesign""]}, ""stakeholders"": {""business_owner"": ""manager_63"", ""technical_lead"": ""tech_10"", ""risk_reviewer"": ""risk_74""}}","{""metadata"": {""source"": ""manual"", ""priority"": ""P4"", ""assigned_to"": ""user_913"", ""tags"": [""monitoring"", ""review""]}, ""financial_impact"": {""amount"": 377809.64, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-08-31T13:09:20.126961"", ""acknowledged"": ""2025-08-17T13:09:20.126962"", ""resolved"": null}}"
118,controls,Process failure in Data Warehouse resulting in data corruption,Reputational Risk,MR-002: FX Risk,"{""metadata"": {""source"": ""external"", ""priority"": ""P2"", ""assigned_to"": ""user_891"", ""tags"": [""resolved""]}, ""financial_impact"": {""amount"": 386166.76, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-21T13:09:20.126968"", ""acknowledged"": ""2025-09-07T13:09:20.126969"", ""resolved"": ""2025-08-21T13:09:20.126970""}}","{""status"": ""active"", ""severity"": ""critical"", ""created_date"": ""2025-06-11T13:09:20.126973""}","{""detailed_analysis"": {""root_cause_category"": ""human_error"", ""contributing_factors"": [""vendor_issue""], ""risk_indicators"": {""probability"": 0.8931304070708308, ""impact_score"": 7, ""risk_rating"": ""Low""}}, ""remediation"": {""immediate_actions"": [""Action 1: Process bypass""], ""long_term_solutions"": [""Solution 1: Training program"", ""Solution 2: System upgrade""]}, ""stakeholders"": {""business_owner"": ""manager_54"", ""technical_lead"": ""tech_99"", ""risk_reviewer"": ""risk_96""}}","{""metadata"": {""source"": ""system"", ""priority"": ""P3"", ""assigned_to"": ""user_638"", ""tags"": [""monitoring"", ""urgent"", ""escalated""]}, ""financial_impact"": {""amount"": 150579.96, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-28T13:09:20.126984"", ""acknowledged"": ""2025-08-17T13:09:20.126986"", ""resolved"": null}}"
119,controls,Performance degradation in Payment Gateway impacting client disruption,Model Risk,LR-001: Funding Risk,"{""metadata"": {""source"": ""manual"", ""priority"": ""P3"", ""assigned_to"": ""user_640"", ""tags"": [""review"", ""resolved"", ""urgent""]}, ""financial_impact"": {""amount"": 348392.51, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-09-04T13:09:20.126992"", ""acknowledged"": ""2025-08-18T13:09:20.126993"", ""resolved"": ""2025-09-01T13:09:20.126994""}}","{""status"": ""pending"", ""severity"": ""high"", ""created_date"": ""2025-01-16T13:09:20.126997""}","{""detailed_analysis"": {""root_cause_category"": ""external_factor"", ""contributing_factors"": [""inadequate_training"", ""process_deviation"", ""system_overload""], ""risk_indicators"": {""probability"": 0.449801200840392, ""impact_score"": 4, ""risk_rating"": ""Medium""}}, ""remediation"": {""immediate_actions"": [""Action 1: Process bypass""], ""long_term_solutions"": [""Solution 1: Training program"", ""Solution 2: Training program""]}, ""stakeholders"": {""business_owner"": ""manager_20"", ""technical_lead"": ""tech_96"", ""risk_reviewer"": ""risk_87""}}","{""metadata"": {""source"": ""system"", ""priority"": ""P2"", ""assigned_to"": ""user_306"", ""tags"": [""resolved""]}, ""financial_impact"": {""amount"": 304041.63, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-26T13:09:20.127007"", ""acknowledged"": ""2025-09-07T13:09:20.127008"", ""resolved"": null}}"
120,controls,System outage in Risk Engine affecting client disruption,Model Risk,MR-001: Interest Rate Risk,"{""metadata"": {""source"": ""manual"", ""priority"": ""P3"", ""assigned_to"": ""user_388"", ""tags"": [""urgent""]}, ""financial_impact"": {""amount"": 280296.35, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-09-03T13:09:20.127014"", ""acknowledged"": ""2025-09-04T13:09:20.127015"", ""resolved"": null}}","{""status"": ""active"", ""severity"": ""medium"", ""created_date"": ""2024-11-21T13:09:20.127018""}","{""detailed_analysis"": {""root_cause_category"": ""external_factor"", ""contributing_factors"": [""vendor_issue"", ""inadequate_training"", ""communication_breakdown""], ""risk_indicators"": {""probability"": 0.8414460714123028, ""impact_score"": 3, ""risk_rating"": ""Low""}}, ""remediation"": {""immediate_actions"": [""Action 1: Data correction"", ""Action 2: Manual override""], ""long_term_solutions"": [""Solution 1: System upgrade""]}, ""stakeholders"": {""business_owner"": ""manager_19"", ""technical_lead"": ""tech_13"", ""risk_reviewer"": ""risk_78""}}","{""metadata"": {""source"": ""manual"", ""priority"": ""P4"", ""assigned_to"": ""user_664"", ""tags"": [""urgent"", ""escalated""]}, ""financial_impact"": {""amount"": 719162.71, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-08-24T13:09:20.127028"", ""acknowledged"": ""2025-08-26T13:09:20.127028"", ""resolved"": ""2025-09-03T13:09:20.127029""}}"
121,controls,Authorization bypass in Data Warehouse with service unavailability,Reputational Risk,OR-002: System Failure,"{""metadata"": {""source"": ""system"", ""priority"": ""P1"", ""assigned_to"": ""user_663"", ""tags"": [""review"", ""resolved"", ""urgent""]}, ""financial_impact"": {""amount"": 349639.45, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-22T13:09:20.127035"", ""acknowledged"": ""2025-08-16T13:09:20.127036"", ""resolved"": null}}","{""status"": ""resolved"", ""severity"": ""high"", ""created_date"": ""2025-07-15T13:09:20.127039""}","{""detailed_analysis"": {""root_cause_category"": ""external_factor"", ""contributing_factors"": [""inadequate_training"", ""process_deviation""], ""risk_indicators"": {""probability"": 0.6753380100467267, ""impact_score"": 5, ""risk_rating"": ""High""}}, ""remediation"": {""immediate_actions"": [""Action 1: System restart"", ""Action 2: Data correction"", ""Action 3: System restart""], ""long_term_solutions"": [""Solution 1: Control enhancement""]}, ""stakeholders"": {""business_owner"": ""manager_46"", ""technical_lead"": ""tech_64"", ""risk_reviewer"": ""risk_97""}}","{""metadata"": {""source"": ""manual"", ""priority"": ""P3"", ""assigned_to"": ""user_571"", ""tags"": [""monitoring"", ""escalated"", ""review""]}, ""financial_impact"": {""amount"": 434598.23, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-14T13:09:20.127049"", ""acknowledged"": ""2025-08-21T13:09:20.127050"", ""resolved"": ""2025-08-31T13:09:20.127051""}}"
122,controls,Data quality issue in Reporting System leading to reputation damage,Cyber Risk,CR-002: Concentration Risk,"{""metadata"": {""source"": ""external"", ""priority"": ""P1"", ""assigned_to"": ""user_854"", ""tags"": [""resolved"", ""escalated"", ""monitoring""]}, ""financial_impact"": {""amount"": 69330.31, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-12T13:09:20.127057"", ""acknowledged"": ""2025-08-24T13:09:20.127058"", ""resolved"": null}}","{""status"": ""resolved"", ""severity"": ""low"", ""created_date"": ""2025-05-20T13:09:20.127061""}","{""detailed_analysis"": {""root_cause_category"": ""human_error"", ""contributing_factors"": [""process_deviation"", ""technical_debt""], ""risk_indicators"": {""probability"": 0.41565707247176864, ""impact_score"": 4, ""risk_rating"": ""Low""}}, ""remediation"": {""immediate_actions"": [""Action 1: Data correction"", ""Action 2: Data correction""], ""long_term_solutions"": [""Solution 1: Control enhancement""]}, ""stakeholders"": {""business_owner"": ""manager_18"", ""technical_lead"": ""tech_52"", ""risk_reviewer"": ""risk_18""}}","{""metadata"": {""source"": ""external"", ""priority"": ""P2"", ""assigned_to"": ""user_746"", ""tags"": [""urgent"", ""monitoring""]}, ""financial_impact"": {""amount"": 992934.05, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-09-04T13:09:20.127069"", ""acknowledged"": ""2025-09-05T13:09:20.127070"", ""resolved"": null}}"
123,controls,Performance degradation in Reporting System impacting financial loss,Operational Risk,MR-001: Interest Rate Risk,"{""metadata"": {""source"": ""system"", ""priority"": ""P3"", ""assigned_to"": ""user_649"", ""tags"": [""escalated"", ""monitoring"", ""resolved""]}, ""financial_impact"": {""amount"": 714433.67, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-09-05T13:09:20.127076"", ""acknowledged"": ""2025-08-21T13:09:20.127076"", ""resolved"": null}}","{""status"": ""active"", ""severity"": ""high"", ""created_date"": ""2024-11-23T13:09:20.127079""}","{""detailed_analysis"": {""root_cause_category"": ""external_factor"", ""contributing_factors"": [""system_overload"", ""technical_debt"", ""inadequate_training""], ""risk_indicators"": {""probability"": 0.7238004104061827, ""impact_score"": 2, ""risk_rating"": ""Medium""}}, ""remediation"": {""immediate_actions"": [""Action 1: System restart"", ""Action 2: System restart""], ""long_term_solutions"": [""Solution 1: Process redesign"", ""Solution 2: Training program""]}, ""stakeholders"": {""business_owner"": ""manager_86"", ""technical_lead"": ""tech_25"", ""risk_reviewer"": ""risk_22""}}","{""metadata"": {""source"": ""manual"", ""priority"": ""P3"", ""assigned_to"": ""user_636"", ""tags"": [""review"", ""escalated""]}, ""financial_impact"": {""amount"": 694765.41, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-08-21T13:09:20.127089"", ""acknowledged"": ""2025-08-21T13:09:20.127089"", ""resolved"": null}}"
124,controls,Authorization bypass in Settlement System with reputation damage,Cyber Risk,MR-002: FX Risk,"{""metadata"": {""source"": ""external"", ""priority"": ""P3"", ""assigned_to"": ""user_880"", ""tags"": [""review"", ""resolved"", ""escalated""]}, ""financial_impact"": {""amount"": 640532.61, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-11T13:09:20.127095"", ""acknowledged"": ""2025-08-31T13:09:20.127096"", ""resolved"": null}}","{""status"": ""resolved"", ""severity"": ""low"", ""created_date"": ""2025-08-23T13:09:20.127099""}","{""detailed_analysis"": {""root_cause_category"": ""system_failure"", ""contributing_factors"": [""vendor_issue"", ""technical_debt"", ""process_deviation""], ""risk_indicators"": {""probability"": 0.5602908315154894, ""impact_score"": 8, ""risk_rating"": ""Very High""}}, ""remediation"": {""immediate_actions"": [""Action 1: Data correction""], ""long_term_solutions"": [""Solution 1: Process redesign"", ""Solution 2: Control enhancement""]}, ""stakeholders"": {""business_owner"": ""manager_47"", ""technical_lead"": ""tech_57"", ""risk_reviewer"": ""risk_45""}}","{""metadata"": {""source"": ""system"", ""priority"": ""P3"", ""assigned_to"": ""user_681"", ""tags"": [""escalated"", ""review""]}, ""financial_impact"": {""amount"": 280105.71, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-08-28T13:09:20.127107"", ""acknowledged"": ""2025-09-07T13:09:20.127108"", ""resolved"": ""2025-08-25T13:09:20.127109""}}"
125,controls,Compliance violation in Reporting System causing operational delay,Model Risk,OR-002: System Failure,"{""metadata"": {""source"": ""system"", ""priority"": ""P1"", ""assigned_to"": ""user_898"", ""tags"": [""escalated"", ""urgent"", ""resolved""]}, ""financial_impact"": {""amount"": 245165.78, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-09-01T13:09:20.127114"", ""acknowledged"": ""2025-08-18T13:09:20.127115"", ""resolved"": ""2025-08-22T13:09:20.127116""}}","{""status"": ""active"", ""severity"": ""medium"", ""created_date"": ""2025-03-04T13:09:20.127119""}","{""detailed_analysis"": {""root_cause_category"": ""system_failure"", ""contributing_factors"": [""process_deviation""], ""risk_indicators"": {""probability"": 0.3406624722753383, ""impact_score"": 2, ""risk_rating"": ""Medium""}}, ""remediation"": {""immediate_actions"": [""Action 1: Manual override"", ""Action 2: Process bypass"", ""Action 3: System restart""], ""long_term_solutions"": [""Solution 1: System upgrade""]}, ""stakeholders"": {""business_owner"": ""manager_80"", ""technical_lead"": ""tech_64"", ""risk_reviewer"": ""risk_69""}}","{""metadata"": {""source"": ""external"", ""priority"": ""P1"", ""assigned_to"": ""user_737"", ""tags"": [""monitoring""]}, ""financial_impact"": {""amount"": 547570.11, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-08-13T13:09:20.127127"", ""acknowledged"": ""2025-09-04T13:09:20.127128"", ""resolved"": ""2025-09-05T13:09:20.127129""}}"
126,controls,Failed transaction processing in Payment Gateway resulting in regulatory concern,Reputational Risk,MR-001: Interest Rate Risk,"{""metadata"": {""source"": ""external"", ""priority"": ""P4"", ""assigned_to"": ""user_973"", ""tags"": [""review"", ""urgent"", ""monitoring""]}, ""financial_impact"": {""amount"": 231018.06, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-27T13:09:20.127135"", ""acknowledged"": ""2025-08-22T13:09:20.127135"", ""resolved"": ""2025-09-02T13:09:20.127136""}}","{""status"": ""pending"", ""severity"": ""high"", ""created_date"": ""2024-09-14T13:09:20.127139""}","{""detailed_analysis"": {""root_cause_category"": ""process_gap"", ""contributing_factors"": [""technical_debt""], ""risk_indicators"": {""probability"": 0.1412870668381693, ""impact_score"": 2, ""risk_rating"": ""Very High""}}, ""remediation"": {""immediate_actions"": [""Action 1: System restart""], ""long_term_solutions"": [""Solution 1: System upgrade""]}, ""stakeholders"": {""business_owner"": ""manager_55"", ""technical_lead"": ""tech_98"", ""risk_reviewer"": ""risk_70""}}","{""metadata"": {""source"": ""external"", ""priority"": ""P1"", ""assigned_to"": ""user_650"", ""tags"": [""urgent"", ""monitoring"", ""escalated""]}, ""financial_impact"": {""amount"": 519407.27, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-28T13:09:20.127147"", ""acknowledged"": ""2025-08-16T13:09:20.127148"", ""resolved"": null}}"
127,controls,Security breach detected in Reporting System with reputation damage,Compliance Risk,MR-002: FX Risk,"{""metadata"": {""source"": ""system"", ""priority"": ""P3"", ""assigned_to"": ""user_678"", ""tags"": [""review""]}, ""financial_impact"": {""amount"": 444061.47, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-12T13:09:20.127153"", ""acknowledged"": ""2025-08-25T13:09:20.127154"", ""resolved"": null}}","{""status"": ""resolved"", ""severity"": ""low"", ""created_date"": ""2025-01-05T13:09:20.127157""}","{""detailed_analysis"": {""root_cause_category"": ""external_factor"", ""contributing_factors"": [""process_deviation"", ""system_overload"", ""technical_debt""], ""risk_indicators"": {""probability"": 0.9345637236153199, ""impact_score"": 1, ""risk_rating"": ""High""}}, ""remediation"": {""immediate_actions"": [""Action 1: Manual override"", ""Action 2: Process bypass""], ""long_term_solutions"": [""Solution 1: Control enhancement"", ""Solution 2: Control enhancement""]}, ""stakeholders"": {""business_owner"": ""manager_30"", ""technical_lead"": ""tech_20"", ""risk_reviewer"": ""risk_13""}}","{""metadata"": {""source"": ""manual"", ""priority"": ""P4"", ""assigned_to"": ""user_871"", ""tags"": [""monitoring""]}, ""financial_impact"": {""amount"": 753849.26, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-08-13T13:09:20.127165"", ""acknowledged"": ""2025-08-17T13:09:20.127166"", ""resolved"": null}}"
128,controls,Data quality issue in Data Warehouse leading to operational delay,Liquidity Risk,LR-001: Funding Risk,"{""metadata"": {""source"": ""external"", ""priority"": ""P1"", ""assigned_to"": ""user_250"", ""tags"": [""resolved"", ""monitoring""]}, ""financial_impact"": {""amount"": 964869.57, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-14T13:09:20.127171"", ""acknowledged"": ""2025-09-03T13:09:20.127172"", ""resolved"": null}}","{""status"": ""pending"", ""severity"": ""medium"", ""created_date"": ""2025-02-20T13:09:20.127175""}","{""detailed_analysis"": {""root_cause_category"": ""human_error"", ""contributing_factors"": [""communication_breakdown"", ""system_overload""], ""risk_indicators"": {""probability"": 0.35818472215673136, ""impact_score"": 9, ""risk_rating"": ""High""}}, ""remediation"": {""immediate_actions"": [""Action 1: Manual override"", ""Action 2: Manual override""], ""long_term_solutions"": [""Solution 1: Control enhancement""]}, ""stakeholders"": {""business_owner"": ""manager_76"", ""technical_lead"": ""tech_38"", ""risk_reviewer"": ""risk_33""}}","{""metadata"": {""source"": ""external"", ""priority"": ""P3"", ""assigned_to"": ""user_476"", ""tags"": [""urgent"", ""review""]}, ""financial_impact"": {""amount"": 675648.26, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-23T13:09:20.127184"", ""acknowledged"": ""2025-08-14T13:09:20.127185"", ""resolved"": ""2025-09-01T13:09:20.127186""}}"
129,controls,System outage in Reporting System affecting client disruption,Operational Risk,TR-001: Infrastructure Risk,"{""metadata"": {""source"": ""manual"", ""priority"": ""P1"", ""assigned_to"": ""user_321"", ""tags"": [""monitoring"", ""escalated"", ""urgent""]}, ""financial_impact"": {""amount"": 884124.71, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-21T13:09:20.127192"", ""acknowledged"": ""2025-09-06T13:09:20.127193"", ""resolved"": null}}","{""status"": ""pending"", ""severity"": ""critical"", ""created_date"": ""2025-01-12T13:09:20.127196""}","{""detailed_analysis"": {""root_cause_category"": ""human_error"", ""contributing_factors"": [""system_overload""], ""risk_indicators"": {""probability"": 0.3307732802724299, ""impact_score"": 4, ""risk_rating"": ""High""}}, ""remediation"": {""immediate_actions"": [""Action 1: Manual override"", ""Action 2: Process bypass"", ""Action 3: System restart""], ""long_term_solutions"": [""Solution 1: Process redesign"", ""Solution 2: Training program""]}, ""stakeholders"": {""business_owner"": ""manager_34"", ""technical_lead"": ""tech_64"", ""risk_reviewer"": ""risk_17""}}","{""metadata"": {""source"": ""system"", ""priority"": ""P2"", ""assigned_to"": ""user_494"", ""tags"": [""urgent"", ""monitoring""]}, ""financial_impact"": {""amount"": 653684.51, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-08-17T13:09:20.127206"", ""acknowledged"": ""2025-08-25T13:09:20.127207"", ""resolved"": null}}"
130,controls,Data quality issue in Client Portal leading to regulatory concern,Strategic Risk,MR-001: Interest Rate Risk,"{""metadata"": {""source"": ""external"", ""priority"": ""P1"", ""assigned_to"": ""user_639"", ""tags"": [""escalated"", ""review""]}, ""financial_impact"": {""amount"": 637311.11, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-08-13T13:09:20.127212"", ""acknowledged"": ""2025-08-26T13:09:20.127213"", ""resolved"": ""2025-08-28T13:09:20.127214""}}","{""status"": ""active"", ""severity"": ""critical"", ""created_date"": ""2025-03-20T13:09:20.127218""}","{""detailed_analysis"": {""root_cause_category"": ""process_gap"", ""contributing_factors"": [""vendor_issue""], ""risk_indicators"": {""probability"": 0.20040905404379647, ""impact_score"": 1, ""risk_rating"": ""Low""}}, ""remediation"": {""immediate_actions"": [""Action 1: Process bypass"", ""Action 2: Manual override"", ""Action 3: System restart""], ""long_term_solutions"": [""Solution 1: Process redesign""]}, ""stakeholders"": {""business_owner"": ""manager_29"", ""technical_lead"": ""tech_75"", ""risk_reviewer"": ""risk_83""}}","{""metadata"": {""source"": ""external"", ""priority"": ""P4"", ""assigned_to"": ""user_366"", ""tags"": [""escalated"", ""urgent""]}, ""financial_impact"": {""amount"": 166962.13, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-08-22T13:09:20.127227"", ""acknowledged"": ""2025-08-22T13:09:20.127228"", ""resolved"": ""2025-08-24T13:09:20.127229""}}"
